"Story","Title","Result","Date","Stability","Duration (s)"
"Top Itinerary Delete Icon","Itinerary Page Delete Button functionality","SUCCESS","2022-12-09T14:43:38.408916+07:00[Asia/Jakarta]","0.0","24.24"
"Top Itinerary Search Bar functionality","Search Top Itinerary data by name","SUCCESS","2022-12-09T14:35:43.126188+07:00[Asia/Jakarta]","0.0","19.07"
"Top Itinerary Tableview","Data is sorted by rank","SUCCESS","2022-12-09T14:36:32.499896+07:00[Asia/Jakarta]","0.0","5.07"
"Top Itinerary Tableview","Column visibility","SUCCESS","2022-12-09T14:44:02.679841+07:00[Asia/Jakarta]","0.0","47.94"
