"Story","Title","Result","Date","Stability","Duration (s)"
"Top Itinerary Delete Modal Batal Button","Top Itinerary Delete Modal Batal Button functionality","ERROR","2022-12-09T14:13:48.975692+07:00[Asia/Jakarta]","0.0","55.42"
"Top Itinerary Delete Modal Hapus Button","Top Itinerary Delete Modal Hapus Button functionality","ERROR","2022-12-09T14:14:44.513549+07:00[Asia/Jakarta]","0.0","25.08"
"Add Itinerary Button","Add Itinerary Button functionality","FAILURE","2022-12-09T14:52:12.171471+07:00[Asia/Jakarta]","0.0","32.7"
"Top Itinerary Delete Icon","Itinerary Page Delete Button functionality","SUCCESS","2022-12-09T14:52:44.915342+07:00[Asia/Jakarta]","0.0","18.48"
"Top Itinerary Search Bar functionality","Search Top Itinerary data by name","SUCCESS","2022-12-09T14:53:03.440014+07:00[Asia/Jakarta]","0.0","17.44"
"Top Itinerary Tableview","Column visibility","SUCCESS","2022-12-09T14:53:20.914935+07:00[Asia/Jakarta]","0.0","18.41"
"Top Itinerary Tableview","Data is sorted by rank","SUCCESS","2022-12-09T14:53:39.396005+07:00[Asia/Jakarta]","0.0","5.05"
"Top Itinerary Tableview","Able to edit itinerary rank by dragging the row position","FAILURE","2022-12-09T14:53:44.467233+07:00[Asia/Jakarta]","0.0","5.07"
