"Story","Title","Result","Date","Stability","Duration (s)"
"Top Itinerary Tableview","Data is sorted by rank","SUCCESS","2022-12-09T14:53:39.396005+07:00[Asia/Jakarta]","0.0","5.05"
"Top Itinerary Tableview","Able to edit itinerary rank by dragging the row position","FAILURE","2022-12-09T14:53:44.467233+07:00[Asia/Jakarta]","0.0","5.07"
